date,n1,n2,n3,n4,n5,n6,n7,n8,n9
2024-09-12,SE,ShootingGirl,OnStage,MC,MoonBeliever,SynchroStarlation,AnoKoi,_END,
2024-09-13,SE,SynchroStarlation,AnoKoi,MC,OnStage,MoonBeliever,ShootingGirl,_END,
2024-09-14,SE,AnoKoi,OnStage,MC,SynchroStarlation,ShootingGirl,_END,,
2024-09-14,SE,ShootingGirl,MoonBeliever,SynchroStarlation,_END,,,,
2024-09-15,SE,ShootingGirl,MC,OnStage,SynchroStarlation,AnoKoi,_END,,
2024-09-15,SE,AnoKoi,MoonBeliever,MC,SynchroStarlation,ShootingGirl,_END,,
2024-09-16,SE,SynchroStarlation,MoonBeliever,MC,ShootingGirl,OnStage,AnoKoi,_END,
2024-09-18,SE,OnStage,MoonBeliever,MC,AnoKoi,ShootingGirl,_END,,
2024-09-19,SE,ShootingGirl,MoonBeliever,MC,SynchroStarlation,AnoKoi,_END,,
2024-09-21,SE,ShootingGirl,OnStage,MC,AnoKoi,_END,,,
2024-09-22,SE,ShootingGirl,OnStage,MC,SynchroStarlation,AnoKoi,_END,,
2024-09-22,SE,OnStage,MoonBeliever,MC,ShootingGirl,SynchroStarlation,_END,,
2024-09-23,SE,OnStage,MoonBeliever,MC,ShootingGirl,AnoKoi,_END,,
2024-09-23,SE,MoonBeliever,AnoKoi,MC,OnStage,SynchroStarlation,ShootingGirl,_END,
2024-09-24,SE,AnoKoi,MC,OnStage,SynchroStarlation,MoonBeliever,_END,,
2024-09-25,SE,OnStage,MoonBeliever,MC,ShootingGirl,SynchroStarlation,AnoKoi,_END,
2024-09-28,SE,MoonBeliever,OnStage,MC,SynchroStarlation,ShootingGirl,_END,,
2024-09-28,SE,OnStage,SynchroStarlation,AnoKoi,_END,,,,
2024-09-29,SE,AnoKoi,MC,MoonBeliever,SynchroStarlation,ShootingGirl,_END,,
2024-09-29,SE,ShootingGirl,OnStage,MC,SynchroStarlation,AnoKoi,_END,,
2024-09-30,SE,ShootingGirl,OnStage,MC,MoonBeliever,AnoKoi,_END,,
2024-10-01,SE,OnStage,MC,MoonBeliever,ShootingGirl,_END,,,
2024-10-04,SE,ShootingGirl,OnStage,MC,SynchroStarlation,AnoKoi,_END,,
2024-10-05,SE,MoonBeliever,SynchroStarlation,MC,AnoKoi,ShootingGirl,_END,,
2024-10-05,SE,AnoKoi,OnStage,MC,SynchroStarlation,MoonBeliever,_END,,
2024-10-06,SE,AnoKoi,OnStage,MC,SynchroStarlation,MoonBeliever,_END,,
2024-10-06,SE,ShootingGirl,SynchroStarlation,AnoKoi,_END,,,,
2024-10-08,SE,ShootingGirl,OnStage,AnoKoi,MC,MoonBeliever,SynchroStarlation,ShootingGirl,_END
2024-10-09,SE,MoonBeliever,OnStage,MC,ShootingGirl,SynchroStarlation,_END,,
2024-10-10,SE,OnStage,MoonBeliever,MC,SynchroStarlation,AnoKoi,_END,,
2024-10-12,SE,ShootingGirl,MoonBeliever,MC,AnoKoi,SynchroStarlation,_END,,
2024-10-12,SE,AnoKoi,OnStage,MC,SynchroStarlation,ShootingGirl,_END,,
2024-10-13,SE,OnStage,MoonBeliever,MC,ShootingGirl,SynchroStarlation,_END,,
2024-10-13,SE,AnoKoi,OnStage,MoonBeliever,_END,,,,
2024-10-14,SE,ShootingGirl,SynchroStarlation,MC,OnStage,AnoKoi,_END,,
2024-10-14,SE,MoonBeliever,AnoKoi,MC,SynchroStarlation,ShootingGirl,_END,,
2024-10-16,SE,OnStage,MoonBeliever,MC,Saisentan,ShootingGirl,_END,,
2024-10-17,SE,ShootingGirl,AnoKoi,MC,OnStage,MoonBeliever,_END,,
2024-10-18,SE,OnStage,MoonBeliever,Saisentan,MC,ShootingGirl,_END,,
2024-10-20,SE,ShootingGirl,AnoKoi,MC,OnStage,MoonBeliever,_END,,
2024-10-20,SE,AnoKoi,OnStage,MC,ShootingGirl,SynchroStarlation,_END,,
2024-10-22,SE,OnStage,MoonBeliever,MC,ShootingGirl,AnoKoi,_END,,
2024-10-23,SE,ShootingGirl,OnStage,MC,SynchroStarlation,MoonBeliever,_END,,
2024-10-24,SE,OnStage,SynchroStarlation,MC,Pulcliism,MoonBeliever,_END,,
2024-10-25,SE,Pulcliism,ShootingGirl,AnoKoi,_END,,,,
2024-10-26,SE,AnoKoi,OnStage,Pulcliism,MC,ShootingGirl,_END,,
2024-10-26,SE,Pulcliism,OnStage,MC,SynchroStarlation,AnoKoi,_END,,
2024-10-27,SE,ShootingGirl,MoonBeliever,MC,OnStage,Pulcliism,_END,,
2024-10-27,SE,AnoKoi,Pulcliism,MC,ShootingGirl,SynchroStarlation,_END,,
2024-10-30,SE,OnStage,MoonBeliever,MC,Pulcliism,ShootingGirl,_END,,
2024-10-31,SE,AnoKoi,Pulcliism,MC,OnStage,MoonBeliever,_END,,
2024-10-31,SE,Pulcliism,ShootingGirl,MC,SynchroStarlation,AnoKoi,_END,,
2024-11-01,SE,ShootingGirl,Pulcliism,MC,AnoKoi,OnStage,_END,,
2024-11-02,SE,Pulcliism,OnStage,MoonBeliever,MC,ShootingGirl,_END,,
2024-11-03,SE,Pulcliism,MoonBeliever,MC,OnStage,AnoKoi,_END,,
2024-11-03,SE,ShootingGirl,SynchroStarlation,MC,AnoKoi,Pulcliism,_END,,
2024-11-04,SE,MoonBeliever,SynchroStarlation,MC,Pulcliism,ShootingGirl,_END,,
2024-11-04,SE,OnStage,AnoKoi,MC,Pulcliism,MoonBeliever,_END,,
