date,Venue,n1,n2,n3,n4,n5,n6,n7,n8,n9
2024/9/12,RADHALL,SE,ShootingGirl,OnStage,MC,MoonBeliever,SynchroStarlation,AnoKoi,_END,
2024/9/13,DIVA,SE,SynchroStarlation,AnoKoi,MC,OnStage,MoonBeliever,ShootingGirl,_END,
2024/9/14,LionTheater,SE,AnoKoi,OnStage,MC,SynchroStarlation,ShootingGirl,_END,,
2024/9/14,LionTheater,SE,ShootingGirl,MoonBeliever,SynchroStarlation,_END,,,,
2024/9/15,Deep,SE,ShootingGirl,MC,OnStage,SynchroStarlation,AnoKoi,_END,,
2024/9/15,DynamiteHall,SE,AnoKoi,MoonBeliever,MC,SynchroStarlation,ShootingGirl,_END,,
2024/9/16,XHALL,SE,SynchroStarlation,MoonBeliever,MC,ShootingGirl,OnStage,AnoKoi,_END,
2024/9/18,LionTheater,SE,OnStage,MoonBeliever,MC,AnoKoi,ShootingGirl,_END,,
2024/9/19,Dt,SE,ShootingGirl,MoonBeliever,MC,SynchroStarlation,AnoKoi,_END,,
2024/9/21,Tsurumai,SE,ShootingGirl,OnStage,MC,AnoKoi,_END,,,
2024/9/22,Dt,SE,ShootingGirl,OnStage,MC,SynchroStarlation,AnoKoi,_END,,
2024/9/22,Dt,SE,OnStage,MoonBeliever,MC,ShootingGirl,SynchroStarlation,_END,,
2024/9/23,Deep,SE,OnStage,MoonBeliever,MC,ShootingGirl,AnoKoi,_END,,
2024/9/23,LivesFarm,SE,MoonBeliever,AnoKoi,MC,OnStage,SynchroStarlation,ShootingGirl,_END,
2024/9/24,DIVA,SE,AnoKoi,MC,OnStage,SynchroStarlation,MoonBeliever,_END,,
2024/9/25,LionTheater,SE,OnStage,MoonBeliever,MC,ShootingGirl,SynchroStarlation,AnoKoi,_END,
2024/9/28,DynamiteHall,SE,MoonBeliever,OnStage,MC,SynchroStarlation,ShootingGirl,_END,,
2024/9/28,SunshineSakae,SE,OnStage,SynchroStarlation,AnoKoi,_END,,,,
2024/9/29,RADHALL,SE,AnoKoi,MC,MoonBeliever,SynchroStarlation,ShootingGirl,_END,,
2024/9/29,RADHALL,SE,ShootingGirl,OnStage,MC,SynchroStarlation,AnoKoi,_END,,
2024/9/30,DIVA,SE,ShootingGirl,OnStage,MC,MoonBeliever,AnoKoi,_END,,
